Moniker,Address,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-,laconic17rzfujtx66ewy3l645ynj7hpc74aux9jhl8ur8,1727,0,0,8,30,60,60,45,60,60,0,50,0,600,754,0,0,0,0,0,0
-,laconic16v0lazxvmccs0893g58fqa65m6344dlcpxrvs0,1444,0,0,4,50,60,57,51,60,60,0,50,0,600,452,0,0,0,0,0,0
-,laconic1f7tursd29yrk3mnys3javqngraj5ls7k5h3vvv,1402,0,0,4,50,60,51,33,60,60,0,50,0,600,434,0,0,0,0,0,0
-,laconic1gqzpr9k22navgzreyfsze32p03mjz0j6evjuj0,1280,0,0,8,40,60,42,18,60,60,0,50,0,600,342,0,0,0,0,0,0
-,laconic1xhaypaj6w2etkxkdaxvkurkrvhghq7upzs50vj,1096,0,0,4,10,60,3,3,60,60,0,10,0,600,286,0,0,0,0,0,0
-,laconic1ylkv9ymdacumhnr6f7xdhrcvn7vxmgk4qk6adh,1074,0,0,4,15,60,6,3,60,60,0,10,0,600,256,0,0,0,0,0,0
-,laconic1256aqyag45x84usd6xj053musfcql74j4j3ll3,1068,0,0,4,5,60,15,6,60,60,0,10,0,600,248,0,0,0,0,0,0
-,laconic1rs2s2wz2mgtur3fsu9wlnmsf0zvrcm63cmqmsg,1107,0,0,40,50,60,33,24,60,60,0,50,0,600,130,0,0,0,0,0,0
-,laconic1f9j8n9rqsekzp0rffe3298pytms4hfz20khge3,1083,0,0,4,5,60,12,6,60,60,0,20,0,600,256,0,0,0,0,0,0
-,laconic1mjzrgc8ucspjz98g76c8pce026l5newrujetx0,1057,0,0,40,10,60,27,24,60,60,0,50,0,600,126,0,0,0,0,0,0
-,laconic1s8fqsj548sr86n4mwmdahyzyduxf5f9tkav9e7,1054,0,0,4,10,60,3,3,60,60,0,10,0,600,244,0,0,0,0,0,0
-,laconic15twrppy7udkzd5vnd5cxghe0stddrs0ndd4mv0,1022,0,0,4,10,60,3,3,60,60,0,10,0,600,212,0,0,0,0,0,0
-,laconic195fw5924wajlg4u54m7y9z52dv906qhqtaayrs,1009,0,0,4,35,60,39,24,60,57,0,50,0,600,80,0,0,0,0,0,0
-,laconic1jyvf988g3mgelqw3snw5ukjgvewfkvrfq24tdz,1006,0,0,4,5,60,30,27,60,60,0,40,0,600,120,0,0,0,0,0,0
-,laconic1zmzezvhlkhccvvej2sekvhyqseh6vhhqldeahm,983,0,0,4,15,60,3,3,60,60,0,10,0,600,168,0,0,0,0,0,0
-,laconic1wrwl5557yxgqkwq4djlrz33x5nd5f0j9vh42jg,968,0,0,4,10,60,3,3,60,60,0,10,0,600,158,0,0,0,0,0,0
-,laconic1x0rgcutlsqpnza9c3xn94mcxjmuc3ta05cyq32,968,0,0,4,10,60,3,3,60,60,0,10,0,600,158,0,0,0,0,0,0
-,laconic1360txwdlk4z0604vd22dcarxt9w3ddj8d8mz8m,966,0,0,4,10,60,3,3,60,60,0,10,0,600,156,0,0,0,0,0,0
-,laconic1g3yjumrf2kwp7ds2zvc4v856mewtpqfwykzq87,960,0,0,4,10,60,3,3,60,60,0,10,0,600,150,0,0,0,0,0,0
-,laconic160vn8j8shg3htv4tzfftgny7m43nau8c7upxyk,958,0,0,4,10,60,3,3,60,60,0,10,0,600,148,0,0,0,0,0,0
-,laconic1f9zsthuj8xywft0f6ukk92pa8t2sremyczcwk3,942,0,0,4,10,60,3,3,60,60,0,10,0,600,132,0,0,0,0,0,0
-,laconic150apfepxmmkz0ncmpjwrjzm6p8r5ae7vtdkm62,930,0,0,4,10,60,3,3,60,60,0,10,0,600,120,0,0,0,0,0,0
-,laconic18vyuwuzukgcmdqxpgk5zpra2whfq4gwys0n2rl,930,0,0,4,10,60,3,3,60,60,0,10,0,600,120,0,0,0,0,0,0
-,laconic1ka6xtcejersljsmslc6tw9uxvfmans476v98r0,924,0,0,4,5,60,18,15,60,60,0,10,0,600,92,0,0,0,0,0,0
-,laconic14vzrlac5zte5nju9fm0ktzfz7e4zss74f6lpzx,916,0,0,4,5,60,21,12,60,60,0,10,0,600,84,0,0,0,0,0,0
-,laconic1jmxg7dzyhcdya2j4heum8us62hf7s800m3vd80,908,0,0,4,10,60,3,3,60,60,0,10,0,600,98,0,0,0,0,0,0
-,laconic1l3gca0c6ccmecncy9ld359yfpa09840y6pmcf0,896,0,0,4,10,60,3,3,60,60,0,10,0,600,86,0,0,0,0,0,0
-,laconic195s2w429xuxqagkz54n55dcpfz4nwl0k62qnet,892,0,0,28,25,60,42,51,24,18,0,20,0,600,24,0,0,0,0,0,0
-,laconic1xm7vrga9df0uehmq7yld7sk2zsxmu8ay54kup7,874,0,0,4,15,60,6,6,60,45,0,20,0,600,58,0,0,0,0,0,0
-,laconic13t5gzchl0x3vg28nff7h2f5myvdgxjnn67khmr,860,0,0,4,15,60,9,6,60,42,0,10,0,600,54,0,0,0,0,0,0
-,laconic1nmuxuz3z2xj5fqf2sz5nn0u2r2al7mutsl8pm7,855,0,0,4,5,60,0,0,60,54,0,0,0,600,72,0,0,0,0,0,0
-,laconic1zrk7h7629td9r0tm946ll94mdpzq6cmgvjytz9,853,0,0,4,15,60,6,6,60,36,0,20,0,600,46,0,0,0,0,0,0
-,laconic19prpqnvrmmuyxr2vs7udl2fuqmzlln7239r4ak,827,0,0,4,10,60,3,3,60,33,0,10,0,600,44,0,0,0,0,0,0
-,laconic10vuf74jng58az05pmwrhxxjhzu9q2q27stzq5v,820,0,0,4,10,60,3,3,60,30,0,10,0,600,40,0,0,0,0,0,0
-,laconic1fnstpxgfmj0nrr9werc8vufvlh3wxcd3lfuq2y,820,0,0,4,10,60,3,3,60,30,0,10,0,600,40,0,0,0,0,0,0
-,laconic1g54ls9mk7qjnwycd8dnww6g7t4qecthp90wpf5,818,0,0,4,10,60,3,3,60,30,0,10,0,600,38,0,0,0,0,0,0
-,laconic15n9e0ffypdd80eayekzj5a7zr0c0ptj6efs88e,813,0,0,4,10,60,3,3,60,27,0,10,0,600,36,0,0,0,0,0,0
-,laconic128vt4we3s044zycwydz9f6amzrlp7r6lnputdg,808,0,0,4,5,60,48,39,18,6,0,20,0,600,8,0,0,0,0,0,0
-,laconic164ec25vwgln6fsmmerpazx5mwtxxvsmfegxdch,806,0,0,4,5,60,0,0,60,33,0,0,0,600,44,0,0,0,0,0,0
-,laconic1vfs90x57ufs87tn9h6zs3xylnzh97f03qy0ggz,793,0,0,4,15,60,6,3,60,15,0,10,0,600,20,0,0,0,0,0,0
-,laconic1ljwtpta6xfgtnk0e03h4t77chjygv399pr6utz,763,0,0,4,10,45,3,3,60,12,0,10,0,600,16,0,0,0,0,0,0
-,laconic1axg567nvu92un33z6z547n7klkeq6ud37pwz35,743,0,0,4,5,45,36,12,9,6,0,20,0,600,6,0,0,0,0,0,0
-,laconic15t9kahzjza50772k7s2j78f0ptndqfwvfgrgq9,180,0,0,24,10,33,18,15,60,0,0,20,0,0,0,0,0,0,0,0,0
-,laconic1j7mrlxech8qad2whzal6te73m4rsh59uwg0pdt,172,0,0,40,35,36,36,15,0,0,0,10,0,0,0,0,0,0,0,0,0
-,laconic1yfv4v439ykjzjfrc9363an579k2tkdnwkv34jg,156,0,0,28,20,30,30,12,3,3,0,30,0,0,0,0,0,0,0,0,0
-,laconic1dx3jyjfpcwdwufj5uuufk84f5ugm5h4wf3jsl2,150,0,0,4,20,27,15,9,45,0,0,30,0,0,0,0,0,0,0,0,0
-,laconic1qsvrehuchjquanwm7gsx7cvze8t959l7zf0zpw,106,0,0,40,5,12,33,6,0,0,0,10,0,0,0,0,0,0,0,0,0
-,laconic1vwyxdndfv6e3gw0m9w06xah2m3x6qhznn9ypjx,88,0,0,4,30,9,12,3,0,0,0,30,0,0,0,0,0,0,0,0,0
-,laconic1yavpc0fjk3ze33kfuuc5fra5x3nzs20ajhpef5,74,0,0,40,10,15,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic18mrkvn2au2d7kawpdjdazn3l3lla4jv9jdfmdf,73,0,0,40,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic1ff55lvklhd2y3p56c70gkyjjdxr5srnyrtj253,61,0,0,16,5,12,12,6,0,0,0,10,0,0,0,0,0,0,0,0,0
-,laconic1xwwy9944lgu3djvgmk4l4x59x5cjzczcxuj9f5,60,0,0,40,5,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic1w78xscjjjp4ygm7y0tkz5frqrhks5gw9r7hqqu,39,0,0,4,10,9,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0
-,laconic10mrtxypx3rzamn46xezsjtfwat3yyjp9kyaf9t,38,0,0,8,5,9,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0
-,laconic14dzwrzdfgln6z2vuu0jncvwjt2l7e4yl7slmjq,38,0,0,8,5,9,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0
-,laconic1l70nl4xswhdv4vxfemnrqmpee8kzavst7w4k7a,34,0,0,4,5,9,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0
-,laconic18uc9h349nd0w62vnleu8ywu3sur7ly0kdsgmg3,24,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic18cd03t0zvaxuv5vz0tdyyxctw5jffrj7mggk6n,14,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic19w5x0ck6tlppcwn7hg2ww7kuhycsjw37fpwur9,9,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic1pepnj5z8nzd7c27trg56wt2p9yzya2g9paen39,9,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic1p87hvu9szlc5ek4ggrk0yr9wfd9503h2z8j0f6,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,laconic1krddttfs6qnrjxnaza85jnpnlx6jn2w0l2qha2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
